"","SampleID","Date","Location","Station","GearTypeAbbreviation","Legend2","year","Season","tCPUEbySpp"
"1","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","No Catch",NA,NA,0
"2","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Fish UNID",NA,NA,110.836502059056
"3","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Prickly Sculpin*",NA,NA,11859.505720319
"4","MAC11-ARNO-03APR2023","2023-04-03","Arnold Slough","ARNO-UNK","MAC","Sacramento Splittail*",NA,NA,110.836502059056
"5","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","No Catch",NA,NA,0
"6","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Fish UNID",NA,NA,126.53180322525
"7","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Longfin Smelt*",NA,NA,126.53180322525
"8","MAC11-BLAC-30MAR2023","2023-03-30","Blacklock","BLAC-INT","MAC","Prickly Sculpin*",NA,NA,2783.69967095551
"9","MAC11-BRAD-29MAR2023","2023-03-29","Bradmoor Island","BRAD-SS","MAC","No Catch",NA,NA,0
"10","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","No Catch",NA,NA,0
"11","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Mississippi Silverside",NA,NA,249.3839527216
"12","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Prickly Sculpin*",NA,NA,498.7679054432
"13","MAC11-BROW-16MAY2023","2023-05-16","Browns Island","BROW-CH-W","MAC","Striped Bass",NA,NA,249.3839527216
"14","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","No Catch",NA,NA,0
"15","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Fish Eggs",NA,NA,164.128635031419
"16","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Prickly Sculpin*",NA,NA,492.385905094258
"17","MAC11-CHIP-15MAY2023","2023-05-15","Chipps Island","CHIP-UNK","MAC","Sacramento Splittail*",NA,NA,164.128635031419
"18","MAC11-DECK-08NOV2023","2023-11-08","Decker Island","DECK-CH-INT","MAC","No Catch",NA,NA,0
"19","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","No Catch",NA,NA,0
"20","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Cyprinid spp.",NA,NA,960.9355054605
"21","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Prickly Sculpin*",NA,NA,2882.8065163815
"22","MAC11-DECK-11APR2023","2023-04-11","Decker Island","DECK-CH-INT","MAC","Sacramento Splittail*",NA,NA,960.9355054605
"23","MAC11-DECK-21AUG2023","2023-08-21","Decker Island","DECK-TP","MAC","No Catch",NA,NA,0
"24","MAC11-FLYW-06NOV2023","2023-11-06","Flyway Farms","FLYW-UNK","MAC","No Catch",NA,NA,0
"25","MAC11-FLYW-06NOV2023","2023-11-06","Flyway Farms","FLYW-UNK","MAC","Egg Sacs",NA,NA,198.241982082406
"26","MAC11-LIBE-07NOV2023","2023-11-07","Liberty Island","LIBE_UNK","MAC","No Catch",NA,NA,0
"27","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","No Catch",NA,NA,0
"28","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Centrarchidae larvae",NA,NA,85.8408075327385
"29","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Mississippi Silverside",NA,NA,1287.61211299108
"30","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Prickly Sculpin*",NA,NA,515.044845196431
"31","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Sacramento Splittail*",NA,NA,2231.8609958512
"32","MAC11-LIBE-08MAY2023","2023-05-08","Liberty Island","LIBE_UNK","MAC","Tridentiger spp.",NA,NA,85.8408075327385
"33","MAC11-LIBE-17AUG2023","2023-08-17","Liberty Island","LIBE_UNK","MAC","No Catch",NA,NA,0
"34","MAC11-LOWE-06NOV2023","2023-11-06","Lower Yolo Ranch","LOWE-UNK","MAC","No Catch",NA,NA,0
"35","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","No Catch",NA,NA,0
"36","MAC11-LOWE-09MAY2023","2023-05-09","Lower Yolo Ranch","LOWE-CH-W","MAC","Fish Eggs",NA,NA,184.671702675547
